ZIP,before,after,instrument
94102,32.0,20.0,0.2536706349206349
94103,54.5,21.0,0.3164502164502164
94104,4.25,0.0,0.9199999999999999
94105,9.5,4.0,0.4375
94107,27.0,17.0,0.48631138975966565
94109,13.5,8.0,0.32291666666666663
94110,76.0,16.0,0.38784950866817064
94112,151.5,44.0,0.5608555218882962
94114,31.5,4.0,0.0
94115,38.0,20.0,0.6333333333333333
94116,103.5,40.0,0.3489997773622317
94117,10.375,4.0,0.1924019607843137
94118,52.0,35.0,0.4255262891020274
94121,95.125,32.0,0.3481338829802626
94122,136.0,62.0,0.5187214681879736
94123,4.0,4.0,0.0
94124,179.375,90.0,0.19024601249371853
94127,61.0,32.0,0.5935267857142859
94129,16.5,8.0,0.5
94131,29.5,12.0,0.550595238095238
94132,54.0,32.0,0.44444444444444453
94133,21.0,4.0,0.2023532023532023
94134,142.875,76.0,0.5017600474823019
94140,4.0,4.0,1.0
94146,0.5,0.0,0.0
94158,16.75,8.0,0.539044289044289
94159,18.5,8.0,0.65625
94164,22.0,14.0,0.8181818181818182
94188,5.5,0.0,0.0
94501,196.375,41.0,0.32414118216578985
94502,50.5,0.0,0.617880529912519
94536,130.25,12.0,0.5102126304623966
94537,22.0,10.0,0.2727272727272727
94538,143.5,59.0,0.420568616933836
94539,200.0,77.0,0.5552070394754579
94540,10.0,9.0,0.5128205128205128
94541,194.0,81.0,0.4000196875788331
94542,45.5,16.0,0.4422348484848485
94543,22.5,8.0,0.546875
94544,394.375,217.0,0.3919094639614803
94545,134.5,56.0,0.4470215479974001
94546,177.0,74.0,0.17871201788727864
94550,192.5,56.0,0.45326733718130735
94551,120.0,16.0,0.7699451431558286
94552,78.75,10.0,0.4356153059971225
94555,99.0,32.0,0.5468972114958168
94557,18.5,0.0,0.44166666666666665
94560,172.0,57.0,0.28559163194620846
94566,124.0,50.0,0.621568889035683
94568,149.5,42.0,0.6569301712779974
94577,152.5,64.0,0.2985343065077047
94578,97.125,28.0,0.12473132557652798
94579,109.0,59.0,0.46847566944549707
94580,138.5,60.0,0.3268755726682297
94586,11.5,0.0,0.7666666666666666
94587,292.5,36.0,0.6911542915133819
94588,82.0,30.0,0.7690859465798594
94601,165.0,60.0,0.20139770932824938
94602,65.875,16.0,0.3725882053704444
94603,123.5,58.0,0.23064797929560862
94604,3.0,0.0,0.0
94605,147.0,60.0,0.2469326877889893
94606,123.375,48.0,0.4106075215444537
94607,46.75,18.0,0.08847632056536461
94608,54.5,37.0,0.46635109937490504
94609,44.0,17.0,0.09846465588809625
94610,54.25,21.0,0.3008706934370149
94611,40.0,24.0,0.10119949494949496
94612,16.0,8.0,0.5166666666666666
94614,18.5,8.0,0.0
94618,26.5,4.0,0.15297619047619046
94619,64.75,29.0,0.292348959498257
94621,141.5,46.0,0.2619600879601788
94623,5.0,0.0,0.0
94624,27.0,17.0,0.15173608001194208
94661,6.0,0.0,1.0
94662,8.0,0.0,0.5
94701,16.0,4.0,0.25
94702,16.5,4.0,0.24561403508771926
94703,38.375,8.0,0.32611159505860726
94704,50.0,19.0,0.5423142564569348
94705,14.0,4.0,0.875
94706,43.5,20.0,0.18819444444444444
94707,8.0,0.0,0.5
94708,10.5,0.0,0.3958333333333333
94709,9.0,0.0,0.0
94710,7.5,0.0,0.5625
94720,6.0,0.0,0.75
